,gender,age,age_range,race,higher_education,political_party,ideology,trump_approval,monetary_anxiety,fairness_voting,preferential_voting,woman_president_25,universal_healthcare_25,humanity_survival_100,america_survival_100,trump_2020,trump_nuclear,america_vs_russia_50,america_vs_china_50,better_world,political_spectrum_score,likelihood_of_war,time_answered
132,Female,58,55-64,White,High school or less,Democrat,DK/REF,Neither approve nor disapprove,Very Often,"Yes, very confident",Yes,Yes,Yes,No,No,Very Likely,Somewhat Likely,Yes,Yes,Better World,DK/REF,2,2018-08
133,Male,76,65+,White,High school or less,Democrat,Moderate,Somewhat Disapprove,Not Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Worse World,0,1,2018-08
134,Male,25,25-34,Black,Some college,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,1,0,2018-08
135,Female,65,65+,White,Graduate degree,Independent,Moderate,Somewhat Approve,Very Often,No,Yes,Yes,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,Yes,Worse World,0,1,2018-08
136,Female,48,45-54,White,College degree,Republican,Moderate,Somewhat Approve,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,0,0,2018-08
137,Male,64,55-64,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
138,Male,57,55-64,Black,Graduate degree,Independent,Moderate,Strongly Disapprove,Very Often,No,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,0,0,2018-08
139,Male,18,18-24,White,High school or less,Democrat,Liberal,DK/REF,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Better World,1,0,2018-08
140,Female,68,65+,White,High school or less,DK/REF,DK/REF,Strongly Approve,Not Very Often,No,Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,DK/REF,DK/REF,0,2018-08
141,Female,48,45-54,Asian,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, very confident",No,No,No,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World,1,0,2018-08
142,Male,75,65+,White,College degree,Independent,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,0,0,2018-08
143,Female,58,55-64,White,College degree,Democrat,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World,-1,0,2018-08
144,Male,50,45-54,White,Graduate degree,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,0,0,2018-08
145,Male,63,55-64,White,College degree,Independent,Moderate,Strongly Disapprove,DK/REF,"Yes, very confident",No,Yes,No,Yes,DK/REF,Very Likely,Somewhat Likely,No,No,Worse World,0,0,2018-08
146,Female,39,35-44,White,Some college,Democrat,Liberal,Neither approve nor disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,No,Yes,Somewhat Likely,Not at all likely,Yes,Yes,Worse World,1,2,2018-08
147,Female,62,55-64,Black,High school or less,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Somewhat Likely,Not at all likely,No,No,Worse World,0,0,2018-08
148,Female,39,35-44,Latino,High school or less,Democrat,Liberal,DK/REF,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Very Likely,DK/REF,Yes,Worse World,1,1,2018-08
149,Male,41,35-44,White,High school or less,Independent,Moderate,Neither approve nor disapprove,Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,0,0,2018-08
150,Male,69,65+,Latino,College degree,Independent,DK/REF,Somewhat Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,DK/REF,0,2018-08
151,Female,77,65+,White,High school or less,Republican,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",Yes,No,Yes,Yes,Yes,Very Likely,Very Likely,No,No,Better World,0,0,2018-08
152,Male,53,45-54,Other,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,No,No,Yes,No,Yes,No,Very Likely,Somewhat Likely,No,Yes,Worse World,-1,1,2018-08
153,Female,87,65+,Black,Graduate degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",DK/REF,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Better World,0,1,2018-08
154,Male,37,35-44,Black,College degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,No,Yes,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
155,Female,72,65+,Black,High school or less,DK/REF,Conservative,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,-1,0,2018-08
156,DK/REF,20,18-24,DK/REF,High school or less,Republican,Conservative,Strongly Approve,DK/REF,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Very Likely,No,No,Worse World,-1,0,2018-08
157,Female,34,25-34,White,Some college,Independent,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Better World,1,2,2018-08
158,Male,82,65+,White,Graduate degree,Independent,Moderate,Somewhat Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,0,0,2018-08
159,Male,42,35-44,White,College degree,Independent,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
160,Female,65,65+,Black,College degree,DK/REF,Moderate,Somewhat Disapprove,Not Very Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World,0,0,2018-08
161,Male,66,65+,White,High school or less,DK/REF,Moderate,Somewhat Approve,Somewhat Often,"Yes, very confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,0,0,2018-08
162,Female,81,65+,White,College degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,1,0,2018-08
163,Male,87,65+,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,No,DK/REF,Somewhat Likely,Somewhat Likely,No,No,Worse World,-1,0,2018-08
164,Male,49,45-54,White,High school or less,Republican,Liberal,Neither approve nor disapprove,Very Often,No,Yes,Yes,Yes,No,Yes,Not at all likely,Very Likely,Yes,Yes,Worse World,1,2,2018-08
165,Female,72,65+,Black,High school or less,Independent,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,No,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,0,2018-08
166,Male,70,65+,Black,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,Yes,Worse World,0,1,2018-08
167,Male,46,45-54,White,College degree,Independent,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,0,0,2018-08
168,Female,61,55-64,Black,College degree,Democrat,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,No,Not at all likely,Very Likely,Yes,No,Worse World,1,1,2018-08
169,Male,50,45-54,White,College degree,Democrat,Conservative,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,No,No,No,Not at all likely,Not at all likely,No,No,Worse World,-1,0,2018-08
170,Female,82,65+,Black,High school or less,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,1,0,2018-08
171,Male,45,45-54,White,Some college,Republican,Moderate,Strongly Approve,Very Often,No,Yes,Yes,No,No,No,Somewhat Likely,Not at all likely,Yes,Yes,Worse World,0,2,2018-08
172,Male,84,65+,White,Graduate degree,Independent,Moderate,Somewhat Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
173,Male,40,35-44,White,High school or less,Independent,Conservative,Somewhat Approve,DK/REF,"Yes, very confident",Yes,Yes,DK/REF,DK/REF,DK/REF,Very Likely,Somewhat Likely,Yes,No,Worse World,-1,1,2018-08
174,Female,61,55-64,White,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,DK/REF,No,No,Better World,-1,0,2018-08
175,Male,78,65+,White,College degree,Independent,Liberal,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,Yes,Worse World,1,2,2018-08
176,Female,63,55-64,Black,DK/REF,Democrat,Moderate,Strongly Approve,DK/REF,"Yes, somewhat confident",Yes,Yes,No,No,No,Very Likely,Somewhat Likely,Yes,No,Better World,0,1,2018-08
177,Male,59,55-64,Latino,High school or less,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Better World,0,1,2018-08
178,Female,42,35-44,White,Graduate degree,Independent,Moderate,Neither approve nor disapprove,Somewhat Often,No,Yes,Yes,No,No,No,Somewhat Likely,Somewhat Likely,DK/REF,Yes,Worse World,0,1,2018-08
179,Female,36,35-44,Latino,Some college,Republican,Conservative,DK/REF,Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Very Likely,Somewhat Likely,No,No,Worse World,-1,0,2018-08
180,Female,62,55-64,White,Graduate degree,Independent,Moderate,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,0,0,2018-08
181,Female,73,65+,White,Some college,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
182,Male,52,45-54,Black,Graduate degree,Republican,Moderate,Strongly Approve,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,0,0,2018-08
183,Male,19,18-24,White,Some college,Independent,Conservative,Somewhat Approve,Very Often,"Yes, very confident",No,No,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,-1,0,2018-08
184,Female,20,18-24,White,Some college,Democrat,Conservative,Strongly Approve,Somewhat Often,"Yes, very confident",Yes,No,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World,-1,0,2018-08
185,Male,46,45-54,White,High school or less,Independent,Moderate,Neither approve nor disapprove,Very Often,No,Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,0,0,2018-08
186,Female,57,55-64,White,High school or less,Independent,Moderate,Strongly Disapprove,Somewhat Often,DK/REF,DK/REF,Yes,DK/REF,No,DK/REF,Not at all likely,DK/REF,DK/REF,DK/REF,Worse World,0,0,2018-08
187,Male,72,65+,White,Some college,Democrat,Moderate,Somewhat Approve,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Not at all likely,Very Likely,Yes,Yes,Worse World,0,2,2018-08
188,Male,36,35-44,White,Some college,Democrat,Moderate,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,Yes,Better World,0,1,2018-08
189,Female,60,55-64,White,College degree,DK/REF,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,DK/REF,No,No,DK/REF,Very Likely,Not at all likely,No,No,Worse World,-1,0,2018-08
190,Female,56,55-64,White,College degree,Independent,Moderate,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,Yes,No,Worse World,0,1,2018-08
191,Male,20,18-24,Asian,High school or less,Independent,Moderate,Neither approve nor disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,0,0,2018-08
192,Male,62,55-64,White,Graduate degree,Republican,Conservative,Strongly Approve,Somewhat Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,-1,0,2018-08
193,Male,65,65+,White,DK/REF,Republican,Conservative,Strongly Approve,Not Very Often,No,No,DK/REF,DK/REF,No,No,Very Likely,Not at all likely,DK/REF,No,DK/REF,-1,0,2018-08
194,Male,58,55-64,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
195,Male,49,45-54,White,College degree,Independent,Moderate,Strongly Approve,Somewhat Often,No,No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,0,0,2018-08
196,Male,89,65+,White,High school or less,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,Yes,DK/REF,Yes,Somewhat Likely,Somewhat Likely,Yes,No,DK/REF,0,1,2018-08
197,Male,33,25-34,White,Other,Republican,Conservative,Somewhat Disapprove,Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Not at all likely,Yes,Yes,Worse World,-1,2,2018-08
198,Male,63,55-64,White,College degree,Independent,Conservative,Strongly Disapprove,Somewhat Often,No,DK/REF,Yes,No,DK/REF,DK/REF,Not at all likely,Not at all likely,DK/REF,No,Worse World,-1,0,2018-08
199,Female,64,55-64,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,DK/REF,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World,1,0,2018-08
200,Male,55,55-64,White,High school or less,Independent,Moderate,Strongly Approve,Very Often,No,Yes,Yes,No,No,No,Very Likely,Not at all likely,No,Yes,Worse World,0,1,2018-08
201,Male,84,65+,Black,Other,Democrat,Liberal,Strongly Disapprove,Very Often,No,No,Yes,Yes,No,Yes,Not at all likely,Very Likely,Yes,Yes,Worse World,1,2,2018-08
202,Female,74,65+,White,High school or less,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,DK/REF,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,-1,0,2018-08
203,Female,61,55-64,White,College degree,Independent,Moderate,Strongly Disapprove,Somewhat Often,"Yes, very confident",DK/REF,Yes,Yes,No,No,DK/REF,Very Likely,No,No,DK/REF,0,0,2018-08
204,Male,62,55-64,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,-1,0,2018-08
205,Female,78,65+,DK/REF,College degree,Republican,Conservative,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,DK/REF,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
206,Female,60,55-64,White,Graduate degree,Democrat,Liberal,DK/REF,Not Very Often,DK/REF,DK/REF,Yes,Yes,No,Yes,Not at all likely,DK/REF,Yes,Yes,Better World,1,2,2018-08
207,Male,70,65+,Black,Some college,Independent,DK/REF,DK/REF,Not Very Often,DK/REF,Yes,DK/REF,DK/REF,Yes,Yes,Not at all likely,Not at all likely,No,No,DK/REF,DK/REF,0,2018-08
208,Female,73,65+,White,Some college,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,No,No,No,Somewhat Likely,Somewhat Likely,No,No,Worse World,0,0,2018-08
209,Female,67,65+,White,College degree,DK/REF,DK/REF,DK/REF,Not Very Often,"Yes, somewhat confident",No,No,No,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Worse World,DK/REF,0,2018-08
210,Female,71,65+,White,Some college,DK/REF,Liberal,Strongly Disapprove,Very Often,No,No,Yes,No,No,No,Not at all likely,Somewhat Likely,Yes,No,Worse World,1,1,2018-08
211,Male,75,65+,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,DK/REF,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World,1,0,2018-08
212,Female,58,55-64,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,No,Better World,1,1,2018-08
213,Female,76,65+,White,Some college,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",DK/REF,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World,1,2,2018-08
214,Female,75,65+,White,College degree,Independent,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,0,0,2018-08
215,Male,85,65+,White,College degree,Independent,Moderate,Somewhat Disapprove,Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
216,Female,68,65+,White,Some college,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
217,Female,76,65+,White,Graduate degree,Republican,Conservative,Strongly Approve,Not Very Often,DK/REF,No,Yes,No,Yes,No,Very Likely,Not at all likely,DK/REF,No,Better World,-1,0,2018-08
218,Male,50,45-54,DK/REF,Some college,DK/REF,DK/REF,Strongly Disapprove,Somewhat Often,DK/REF,Yes,DK/REF,Yes,Yes,DK/REF,Somewhat Likely,Not at all likely,DK/REF,DK/REF,DK/REF,DK/REF,0,2018-08
219,Male,21,18-24,White,College degree,Independent,Moderate,Strongly Disapprove,Very Often,No,No,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Better World,0,0,2018-08
220,Female,25,25-34,Latino,High school or less,Independent,Moderate,Strongly Disapprove,Not Very Often,No,Yes,Yes,Yes,No,No,Not at all likely,Somewhat Likely,Yes,No,Worse World,0,1,2018-08
221,Female,57,55-64,White,College degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,1,0,2018-08
222,Male,85,65+,White,Some college,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,-1,0,2018-08
223,Male,55,55-64,White,Some college,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
224,Male,22,18-24,Asian,College degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,No,No,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World,0,0,2018-08
225,Female,19,18-24,Latino,College degree,Republican,Conservative,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,-1,0,2018-08
226,Female,63,55-64,Black,Some college,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World,1,0,2018-08
227,Male,48,45-54,White,College degree,Republican,Liberal,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World,1,0,2018-08
228,Other,28,25-34,White,Some college,Democrat,Liberal,Strongly Disapprove,Very Often,No,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World,1,2,2018-08
229,Female,52,45-54,Black,High school or less,Independent,Moderate,DK/REF,Somewhat Often,No,Yes,Yes,DK/REF,No,No,Not at all likely,Somewhat Likely,Yes,No,Worse World,0,1,2018-08
230,Female,36,35-44,White,Graduate degree,Republican,Moderate,Neither approve nor disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,DK/REF,No,Yes,Worse World,0,1,2018-08
231,Female,35,35-44,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,Yes,No,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World,1,0,2018-08
232,Female,67,65+,Latino,High school or less,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,No,Yes,Yes,No,No,Not at all likely,Very Likely,Yes,No,Worse World,0,1,2018-08
233,Male,74,65+,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
234,Female,22,18-24,Latino,Graduate degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World,1,2,2018-08
235,Male,65,65+,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,0,0,2018-08
236,Male,69,65+,White,Some college,Independent,Moderate,Strongly Disapprove,Not Very Often,DK/REF,Yes,Yes,Yes,Yes,No,Not at all likely,Not at all likely,Yes,No,Worse World,0,1,2018-08
237,Female,72,65+,White,High school or less,DK/REF,DK/REF,Somewhat Approve,Very Often,"Yes, very confident",No,DK/REF,Yes,Yes,Yes,Very Likely,DK/REF,No,No,Better World,DK/REF,0,2018-08
238,Female,69,65+,White,Some college,Republican,Conservative,Strongly Approve,Very Often,No,DK/REF,No,No,Yes,Yes,Very Likely,Somewhat Likely,No,No,DK/REF,-1,0,2018-08
239,Male,85,65+,White,High school or less,Independent,Moderate,Strongly Disapprove,Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,Yes,No,Better World,0,1,2018-08
240,Male,54,45-54,Black,Graduate degree,Independent,Moderate,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World,0,0,2018-08
241,Female,53,45-54,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Somewhat Often,No,No,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,No,No,Worse World,0,0,2018-08
242,Male,34,25-34,White,Some college,Independent,DK/REF,Somewhat Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,DK/REF,0,2018-08
243,Male,56,55-64,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Very Likely,Not at all likely,Yes,Yes,Better World,-1,2,2018-08
244,Female,87,65+,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,DK/REF,DK/REF,Yes,DK/REF,No,DK/REF,Very Likely,Not at all likely,DK/REF,No,Worse World,-1,0,2018-08
245,Male,55,55-64,White,High school or less,Independent,Moderate,Neither approve nor disapprove,Very Often,"Yes, very confident",Yes,Yes,No,No,Yes,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
246,Male,69,65+,White,Graduate degree,Republican,Moderate,Strongly Approve,Very Often,"Yes, somewhat confident",DK/REF,Yes,No,Yes,No,Very Likely,Somewhat Likely,No,No,Worse World,0,0,2018-08
247,Male,38,35-44,White,Graduate degree,Independent,Liberal,Somewhat Approve,Very Often,No,No,Yes,DK/REF,Yes,Yes,Not at all likely,Not at all likely,No,No,Worse World,1,0,2018-08
248,Female,88,65+,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World,-1,0,2018-08
249,Female,93,65+,White,College degree,Republican,Conservative,Somewhat Approve,Somewhat Often,"Yes, very confident",No,No,No,No,No,Somewhat Likely,Not at all likely,No,No,Worse World,-1,0,2018-08
250,Male,65,65+,White,Some college,Independent,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,No,Yes,Not at all likely,Not at all likely,Yes,No,Worse World,1,1,2018-08
251,Female,62,55-64,White,High school or less,Democrat,Liberal,Strongly Disapprove,Very Often,No,DK/REF,Yes,Yes,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Worse World,1,0,2018-08
252,Female,89,65+,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, somewhat confident",Yes,No,Yes,DK/REF,Yes,Very Likely,Not at all likely,No,No,Better World,-1,0,2018-08
253,Male,64,55-64,White,High school or less,Independent,Conservative,DK/REF,Not Very Often,DK/REF,No,Yes,Yes,Yes,Yes,Very Likely,Very Likely,Yes,Yes,Better World,-1,2,2018-08
254,Female,82,65+,White,High school or less,Independent,Moderate,DK/REF,Somewhat Often,"Yes, somewhat confident",No,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,Yes,Yes,Worse World,0,2,2018-08
255,Female,69,65+,White,High school or less,Democrat,DK/REF,Strongly Disapprove,Very Often,DK/REF,Yes,Yes,Yes,DK/REF,DK/REF,Somewhat Likely,Very Likely,Yes,Yes,Worse World,DK/REF,2,2018-08
256,Female,72,65+,White,College degree,Republican,Conservative,Neither approve nor disapprove,Not Very Often,"Yes, very confident",DK/REF,No,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,-1,0,2018-08
257,Female,52,45-54,Black,College degree,Democrat,Liberal,Strongly Disapprove,DK/REF,No,Yes,Yes,Yes,Yes,Yes,Not at all likely,DK/REF,No,No,Better World,1,0,2018-08
258,Male,61,55-64,White,College degree,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,No,No,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Better World,-1,0,2018-08
259,Female,60,55-64,Black,College degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,DK/REF,Yes,Yes,No,Yes,Yes,Not at all likely,DK/REF,No,No,Better World,0,0,2018-08
260,Female,61,55-64,White,Some college,Independent,Moderate,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Very Likely,DK/REF,No,No,Better World,0,0,2018-08
261,Other,88,65+,Asian,Graduate degree,Independent,Moderate,Strongly Approve,Very Often,No,No,No,No,No,No,Very Likely,Very Likely,Yes,Yes,Worse World,0,2,2018-08
262,Male,63,55-64,Black,Some college,DK/REF,Moderate,DK/REF,Somewhat Often,No,Yes,No,No,No,No,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
263,Male,60,55-64,White,High school or less,Democrat,Conservative,Strongly Disapprove,Very Often,No,Yes,No,No,No,No,Not at all likely,Very Likely,Yes,Yes,Better World,-1,2,2018-08
264,Male,60,55-64,White,Some college,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",No,Yes,No,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,Worse World,1,2,2018-08
265,Female,92,65+,White,High school or less,Independent,Moderate,Strongly Disapprove,Somewhat Often,"Yes, very confident",Yes,Yes,Yes,No,Yes,Not at all likely,Not at all likely,No,No,Worse World,0,0,2018-08
266,Female,70,65+,White,College degree,Republican,Moderate,DK/REF,Not Very Often,No,No,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,No,No,Better World,0,0,2018-08
